config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
equator_hex2deg_w1.0,equator,equator_hex2deg,1.0,0.0,4,4,2.0,8,120,data/equator_hex2deg_w1.0__cell_+0.00.nc,1.2415807971617365e-05,-2.796644688034815e-06,0.9632967245290337,4.398764744432269e-05,4.500038858366579e-05,7.260238809552009e-06,1.0056883497586824e-05,0.2759044613255639,36936,4.292542700828427e-06,4.518277574278794e-06,1.5434918362671698e-06,42.02421471689554,74.42708342121797,69.62607038940249,15.419681351939126
equator_hex2deg_w1.5,equator,equator_hex2deg,1.5,0.0,4,4,2.0,8,120,data/equator_hex2deg_w1.5__cell_+0.00.nc,1.4931493549952751e-05,-2.341633897909881e-06,0.9363453433761119,4.152068994625246e-05,4.1108058530578875e-05,7.684317707656114e-06,1.0025951605565995e-05,0.36322546195767735,36936,4.219645065038588e-06,4.22328228829297e-06,1.9217664070937926e-06,40.363517283296105,72.54878777306793,65.58461891132164,16.0541014166812
equator_hex2deg_w2.0,equator,equator_hex2deg,2.0,0.0,4,4,2.0,8,120,data/equator_hex2deg_w2.0__cell_+0.00.nc,1.6282720569690593e-05,-6.317615604641044e-07,0.9082287221042205,3.8206619619171455e-05,3.7716360946683115e-05,9.731422048971621e-06,1.0363183609435726e-05,0.4317150478199181,36936,3.827412809426119e-06,3.882629893180822e-06,2.137514516432317e-06,39.858024395050336,72.60786020586418,66.59215278713685,16.257704937339298
equator_sq1deg_w0.25,equator,equator_sq1deg,0.25,0.0,4,4,1.0,8,120,data/equator_sq1deg_w0.25__cell_+0.00.nc,3.639876084436433e-05,-4.295404550879675e-06,0.8362581781619363,6.34822210755963e-05,6.281955471963783e-05,6.584647292952835e-06,1.088005184383251e-05,0.5794176830257892,36936,5.283872616823643e-06,5.444804875449032e-06,6.243974963149305e-06,22.16617190393715,94.94893365390189,88.12772767844459,29.23373520733647
equator_sq1deg_w0.5,equator,equator_sq1deg,0.5,0.0,4,4,1.0,8,120,data/equator_sq1deg_w0.5__cell_+0.00.nc,2.6363093559637808e-05,-4.7380170799267405e-06,0.9018681364099903,5.711434601856116e-05,5.9494292544755154e-05,5.442895015651153e-06,1.0180912095577894e-05,0.44311970832842357,36936,4.9133500974611315e-06,5.371611089646643e-06,3.5083379822911814e-06,37.23647079577217,88.98230963105395,85.1415793511707,17.40229366939828
equator_sq1deg_w0.75,equator,equator_sq1deg,0.75,0.0,4,4,1.0,8,120,data/equator_sq1deg_w0.75__cell_+0.00.nc,2.4722571358121824e-05,-5.206074393800317e-06,0.9049899087967068,5.3232791723770136e-05,5.661411192105825e-05,5.19112694401754e-06,1.0397201337817856e-05,0.43668566933619934,36936,4.819206357152573e-06,5.311399030901294e-06,2.9263038001003883e-06,47.95055406670865,84.41525356333648,80.18576119307112,13.513921009098343
equator_sq1deg_w1.0,equator,equator_sq1deg,1.0,0.0,4,4,1.0,8,120,data/equator_sq1deg_w1.0__cell_+0.00.nc,2.7048301848784655e-05,-6.178600221798354e-06,0.876229791977813,5.110241423756743e-05,5.41048110148581e-05,4.357077361814304e-06,1.0535677583612658e-05,0.4999241535351955,36936,4.937333536285623e-06,5.189351325980004e-06,3.7785634758232e-06,34.5552817627671,82.1337645303743,71.78156233913141,18.752560157047025
equator_sq1deg_w1.5,equator,equator_sq1deg,1.5,0.0,4,4,1.0,8,120,data/equator_sq1deg_w1.5__cell_+0.00.nc,3.6079584510823916e-05,-8.224818770840422e-06,0.7587096117872566,5.187179488597316e-05,4.8961420964698234e-05,2.1946152050134574e-06,1.041943397585388e-05,0.7368982313000623,36936,5.706425567947361e-06,4.79698624169365e-06,6.068288610425941e-06,23.139953557943095,79.78843732497758,56.706683165598584,28.003513420084865
equator_sq1deg_w2.0,equator,equator_sq1deg,2.0,0.0,4,4,1.0,8,120,data/equator_sq1deg_w2.0__cell_+0.00.nc,4.481990498887916e-05,-6.379817524603408e-06,0.6172532742849112,5.480425327041656e-05,4.4266318596597095e-05,4.380105960387686e-06,1.0759923484991097e-05,1.012505815026701,36936,8.239346734922421e-06,4.352409817670364e-06,7.804383284222635e-06,22.42805076327026,79.26893788449182,30.360397103039066,28.89239046405272
equator_sq2deg_w0.25,equator,equator_sq2deg,0.25,0.0,4,4,2.0,8,120,data/equator_sq2deg_w0.25__cell_+0.00.nc,5.2493538161619394e-05,2.003465307770002e-07,0.5816312920804846,6.345190004483884e-05,4.646656689102644e-05,9.240965081986976e-06,9.040618551209976e-06,1.1297055425834972,36936,6.4475656284889194e-06,4.3803538601553005e-06,7.26246029952789e-06,37.170626887269904,80.17990086019353,61.9015396243802,17.433120026875986
equator_sq2deg_w0.5,equator,equator_sq2deg,0.5,0.0,4,4,2.0,8,120,data/equator_sq2deg_w0.5__cell_+0.00.nc,3.9850272097761e-05,-1.1245897873101916e-06,0.6709914272873897,5.2507337261249815e-05,4.366114581233483e-05,7.630479644962824e-06,8.755069432273016e-06,0.9127170475334341,36936,5.529742819414505e-06,4.248117005501613e-06,6.340874265628511e-06,27.596365134011315,76.39520069043049,57.79643998856696,23.481353317845773
equator_sq2deg_w0.75,equator,equator_sq2deg,0.75,0.0,4,4,2.0,8,120,data/equator_sq2deg_w0.75__cell_+0.00.nc,3.397978693473822e-05,-1.2951112180223046e-06,0.6935141457403923,4.498522946792549e-05,4.132638070610064e-05,7.810370128427436e-06,9.10548134644974e-06,0.8222299256349369,36936,4.784081910453386e-06,4.1621212238626174e-06,5.668757815231025e-06,25.3632370901433,72.90077067305783,56.54691940267816,25.548789284938188
equator_sq2deg_w1.0,equator,equator_sq2deg,1.0,0.0,4,4,2.0,8,120,data/equator_sq2deg_w1.0__cell_+0.00.nc,2.937473092451781e-05,-1.6595494572551916e-06,0.7341497974885685,4.09741546120342e-05,3.936103762711168e-05,7.6123462583685345e-06,9.271895715623727e-06,0.7462895466019079,36936,4.2780040618366184e-06,4.057417604901115e-06,5.001933172656506e-06,24.425907619719332,70.94867201407331,59.982769133333555,26.52920866190707
equator_sq2deg_w1.5,equator,equator_sq2deg,1.5,0.0,4,4,2.0,8,120,data/equator_sq2deg_w1.5__cell_+0.00.nc,2.2767485434593317e-05,-2.7045918643857155e-06,0.8037476999460182,3.607730401656784e-05,3.608934359088083e-05,6.976273682303611e-06,9.680865546689328e-06,0.6308644926516834,36936,3.784957906023749e-06,3.7953496392244807e-06,4.176249751992152e-06,20.537650136882846,69.7979676660966,61.45003976821536,31.55180829749746
equator_sq2deg_w2.0,equator,equator_sq2deg,2.0,0.0,4,4,2.0,8,120,data/equator_sq2deg_w2.0__cell_+0.00.nc,2.175772604225995e-05,-2.7785383854288345e-06,0.7811607295740324,3.2353487981170615e-05,3.286725709326887e-05,7.435334427877033e-06,1.0213872813305868e-05,0.6619878860142508,36936,3.4884266903806286e-06,3.458790542804662e-06,4.27736374577062e-06,18.005358283401577,69.64627587195768,58.25342342805172,35.98928662238093
shift_w0.25,shift,shift,0.25,-1.5,2,8,1.0,8,120,data/shift_w0.25__cell_-1.50.nc,5.578623838087354e-05,1.3233988199279232e-05,0.70544260799517,7.317932187810647e-05,6.733274959632167e-05,6.929307179828978e-06,-6.304681019450255e-06,0.8285156735069837,36936,7.032062319113292e-06,6.500026174586308e-06,7.2273036793413675e-06,42.213372593205705,85.28299659563405,74.79975726419443,15.35058584976213
shift_w0.25,shift,shift,0.25,-0.5,2,8,1.0,8,120,data/shift_w0.25__cell_-0.50.nc,3.251426161191948e-05,-2.536014221763596e-06,0.9094216255244725,7.393722988582508e-05,7.749999143388033e-05,1.4740222260699846e-05,1.7276236482463442e-05,0.4195389058805155,36936,6.314097428846669e-06,6.79737269132688e-06,3.4153635032755646e-06,66.3706512265803,98.3082414320201,90.86742296158008,9.763351542051574
shift_w0.25,shift,shift,0.25,0.5,2,8,1.0,8,120,data/shift_w0.25__cell_+0.50.nc,3.8200447817009834e-05,-4.472283312681293e-06,0.8953113497792531,8.38437161645474e-05,8.173279990361406e-05,3.545995861135704e-07,4.826882898794863e-06,0.46738210194755225,36936,1.085287020639768e-05,1.148845320288248e-05,4.128581377069565e-06,56.19437617468049,39.109374781304254,40.631453734583765,11.53140303552243
shift_w0.25,shift,shift,0.25,1.5,2,8,1.0,8,120,data/shift_w0.25__cell_+1.50.nc,5.601546378707256e-05,3.3664784553696094e-06,0.7653998900936889,8.387482574228548e-05,7.878434740418731e-05,6.049558771804407e-06,2.6830803164347985e-06,0.7109973698163221,36936,7.781437574568777e-06,7.492444382735978e-06,5.357328546376876e-06,75.85850311397182,87.52462828267902,79.33330626624362,8.54221970378756
shift_w0.5,shift,shift,0.5,-1.5,2,8,1.0,8,120,data/shift_w0.5__cell_-1.50.nc,3.6867965528253105e-05,9.285843018829262e-06,0.8553534638785206,6.76656999668119e-05,6.45298913860337e-05,2.533556786824275e-06,-6.75228623200499e-06,0.5713315912419541,36936,6.583715526205578e-06,6.306615186449664e-06,5.571703567785492e-06,30.280066160310803,83.59933602003136,73.69436649306581,21.40021744236997
shift_w0.5,shift,shift,0.5,-0.5,2,8,1.0,8,120,data/shift_w0.5__cell_-0.50.nc,2.5498729117024625e-05,-1.929822615520831e-06,0.9394537059454249,6.896724419236956e-05,7.416825789833521e-05,1.5246785028303994e-05,1.7176607643824827e-05,0.3437957131469441,36936,6.10141992724451e-06,6.643186042815709e-06,3.4804951383228524e-06,40.7096443216908,94.70179529035113,86.07594727674348,15.917604066482458
shift_w0.5,shift,shift,0.5,0.5,2,8,1.0,8,120,data/shift_w0.5__cell_+0.50.nc,2.939077574061077e-05,-5.108081935591228e-06,0.9295833638372842,7.6462911003708e-05,7.766066544230571e-05,-1.2968624410765636e-06,3.811219494514664e-06,0.37845124778701833,36936,1.0757270943617789e-05,1.1643655994618737e-05,3.0872988550938917e-06,61.140162681471296,34.63866166342222,34.30281180988399,10.598597903246638
shift_w0.5,shift,shift,0.5,1.5,2,8,1.0,8,120,data/shift_w0.5__cell_+1.50.nc,4.1815361610636195e-05,5.253673591166802e-07,0.8340328856911441,7.118855110435496e-05,7.371451869451382e-05,2.727718532528629e-06,2.202351173411947e-06,0.5672608646327402,36936,6.596858824741928e-06,7.2395794359484085e-06,3.905968307680554e-06,83.80623806079478,82.61873863670533,81.48810479394142,7.732121319297584
shift_w0.75,shift,shift,0.75,-1.5,2,8,1.0,8,120,data/shift_w0.75__cell_-1.50.nc,2.7956695696340005e-05,5.697689912712481e-06,0.9030147947883681,6.297357735415732e-05,6.101237971841904e-05,-5.204876489689592e-07,-6.2181775616814425e-06,0.45821349413617696,36936,6.851477554601179e-06,6.063646201641156e-06,3.8851289996669674e-06,36.57914646064611,80.3015880693548,59.42070579119723,17.715011494244532
shift_w0.75,shift,shift,0.75,-0.5,2,8,1.0,8,120,data/shift_w0.75__cell_-0.50.nc,2.3283800636915473e-05,-2.150987500099293e-06,0.9466648545369801,6.67355470128588e-05,7.184264053555525e-05,1.501397496554322e-05,1.716496246564251e-05,0.32409444395897746,36936,6.060269573700591e-06,6.555054501494744e-06,3.00882310116327e-06,45.04687148782241,92.16018378529719,82.6428013628774,14.385016730300013
shift_w0.75,shift,shift,0.75,0.5,2,8,1.0,8,120,data/shift_w0.75__cell_+0.50.nc,2.8945444518139167e-05,-2.4504228094831445e-06,0.924154013989073,7.408303629513369e-05,7.402073057554136e-05,1.015233508454805e-06,3.4656563179379513e-06,0.3910451071352111,36936,1.0848105740186337e-05,1.1353800582056862e-05,3.3329621678835568e-06,54.0013539752494,33.47477786940903,32.1024179667112,11.99969912415529
shift_w0.75,shift,shift,0.75,1.5,2,8,1.0,8,120,data/shift_w0.75__cell_+1.50.nc,4.0870718601631e-05,1.5003589303947997e-06,0.8342752302009042,7.187196185149026e-05,6.985578832705727e-05,3.845720381422115e-06,2.345361451027316e-06,0.5850727560367468,36936,6.712955959567206e-06,6.887319161679838e-06,4.150554521170618e-06,68.16873639705993,82.79222752784162,79.66527936080654,9.505823846075394
shift_w1.0,shift,shift,1.0,-1.5,2,8,1.0,8,120,data/shift_w1.0__cell_-1.50.nc,2.896964428111555e-05,3.507826682491309e-06,0.8977529310684418,6.526369104768109e-05,5.791785831784373e-05,-2.164444951573435e-06,-5.672271634064745e-06,0.5001850054975252,36936,8.10906147027845e-06,5.776310549682763e-06,3.787562869554692e-06,39.937036160858476,79.61812104960251,46.05189827691907,16.22554055814218
shift_w1.0,shift,shift,1.0,-0.5,2,8,1.0,8,120,data/shift_w1.0__cell_-0.50.nc,2.6935066283256992e-05,-2.4721793595835096e-06,0.92277313683846,6.663791372753124e-05,6.923770019110242e-05,1.4533378449203736e-05,1.7005557808787242e-05,0.3890231219251034,36936,6.490388314425253e-06,6.43016988338024e-06,3.8106920363493127e-06,36.99308214810711,89.46423944775216,72.49229893065687,17.516788609438894
shift_w1.0,shift,shift,1.0,0.5,2,8,1.0,8,120,data/shift_w1.0__cell_+0.50.nc,3.419956966831346e-05,-1.0168171033592386e-06,0.8872247538566641,7.271364919446195e-05,7.109165735456446e-05,2.8897964634683493e-06,3.9066135668275904e-06,0.48106305213487427,36936,1.0871261248129029e-05,1.1115584395191326e-05,4.270132672705385e-06,46.68558173970636,32.65598354824006,30.909496425793087,13.88008836674455
shift_w1.0,shift,shift,1.0,1.5,2,8,1.0,8,120,data/shift_w1.0__cell_+1.50.nc,4.510066592451244e-05,1.8215368790243366e-06,0.7882630561575855,7.124538685160419e-05,6.6591044534428e-05,3.975536212708653e-06,2.1539993336843154e-06,0.6772782472453199,36936,6.859559167721483e-06,6.575581902287726e-06,4.630561831216067e-06,65.23743678379918,82.92109660398702,74.8727425765195,9.932946969506348
shift_w1.5,shift,shift,1.5,-1.5,2,8,1.0,8,120,data/shift_w1.5__cell_-1.50.nc,3.2046283855171496e-05,2.0151762049563238e-06,0.8804956675579115,6.67178621156737e-05,5.399290162186519e-05,-2.5886957716632326e-06,-4.603871976619557e-06,0.5935277210994324,36936,9.237721454742032e-06,5.342586216161502e-06,4.888478415587885e-06,28.632861384516698,81.71966675528985,37.19405357114617,22.63133926078404
shift_w1.5,shift,shift,1.5,-0.5,2,8,1.0,8,120,data/shift_w1.5__cell_-0.50.nc,3.6837674635178545e-05,-4.6041750940555504e-07,0.8464690318975843,6.802097480132808e-05,6.429590023615787e-05,1.5778230056424862e-05,1.6238647565830412e-05,0.572939713105724,36936,8.538827320813887e-06,6.11416667943568e-06,5.879943088330649e-06,28.666155772286007,86.27052458551454,43.7028619701295,22.605054027735253
shift_w1.5,shift,shift,1.5,0.5,2,8,1.0,8,120,data/shift_w1.5__cell_+0.50.nc,4.326641936153746e-05,7.050852002696165e-07,0.8155866439216568,7.387826201712791e-05,6.689097037259374e-05,5.0797744951481685e-06,4.374689294878553e-06,0.646820028481219,36936,1.100383505579828e-05,1.0576681202846466e-05,6.037601767383737e-06,36.155603373154676,32.51850029024329,31.14141279750204,17.92253314962339
shift_w1.5,shift,shift,1.5,1.5,2,8,1.0,8,120,data/shift_w1.5__cell_+1.50.nc,4.898981745947952e-05,1.8517047435763256e-06,0.7459857099226596,7.28337855923231e-05,6.095746143847719e-05,4.410548917433055e-06,2.5588441738567277e-06,0.8036722052299322,36936,7.251595393538098e-06,5.988565756326401e-06,5.2427667486745805e-06,55.9933661379754,84.25814638309126,69.07418074627039,11.572799506342204
shift_w2.0,shift,shift,2.0,-1.5,2,8,1.0,8,120,data/shift_w2.0__cell_-1.50.nc,3.4465708129202536e-05,-4.5523062718836e-07,0.8539070238434552,6.545659689264671e-05,5.0675231943528876e-05,-4.665443813643664e-06,-4.210213186455304e-06,0.6801292625085604,36936,1.0105537860196865e-05,5.056608925663809e-06,6.031803956854733e-06,21.400098729862382,80.61456645423509,29.933694879692673,30.280234132553794
shift_w2.0,shift,shift,2.0,-0.5,2,8,1.0,8,120,data/shift_w2.0__cell_-0.50.nc,4.1882289248130815e-05,1.914274441031146e-06,0.7940009060782246,6.820508642394823e-05,5.974785414781879e-05,1.754423622070636e-05,1.562996177967521e-05,0.7009839908980197,36936,8.941420441039607e-06,5.736266692032787e-06,6.934140008644857e-06,25.803725160503973,84.98886952187239,39.98822473913402,25.11265315257078
shift_w2.0,shift,shift,2.0,0.5,2,8,1.0,8,120,data/shift_w2.0__cell_+0.50.nc,4.87482229941927e-05,2.3542184873270408e-06,0.7596382999941917,7.420872531249577e-05,6.282862268371144e-05,7.26974123076519e-06,4.915522743438151e-06,0.7758919567535079,36936,1.151354072697873e-05,9.797932477454182e-06,7.476060069402207e-06,29.125261243528332,33.58892913145628,28.644259862995582,22.248727473439793
shift_w2.0,shift,shift,2.0,1.5,2,8,1.0,8,120,data/shift_w2.0__cell_+1.50.nc,5.396756737768783e-05,7.241783294454199e-07,0.708938109080385,7.648058076927645e-05,5.5802046526582316e-05,3.6386893212811414e-06,2.9145109918357187e-06,0.967125235307981,36936,8.563952134114714e-06,5.415188400394914e-06,6.593978073791217e-06,42.32984234652541,85.80189797734684,54.21182034649859,15.308349005773943
shift_hex_w0.25,shift,shift_hex,0.25,-1.5,4,16,1.0,8,120,data/shift_hex_w0.25__cell_-1.50.nc,2.8485675760482093e-05,-1.2356677248615237e-06,0.9093234071078972,6.83265672478595e-05,6.341220522399426e-05,-6.232003389657655e-06,-4.996335664796133e-06,0.44921440060096707,36936,6.57496189840642e-06,6.185815564971108e-06,2.6827443912786124e-06,79.96721569100829,84.10457127999163,76.8208926965967,8.103320772150663
shift_hex_w0.25,shift,shift_hex,0.25,-0.5,4,16,1.0,8,120,data/shift_hex_w0.25__cell_-0.50.nc,1.921423998339228e-05,-6.989319206666362e-07,0.9668268777681289,7.50651194848259e-05,7.36013083415482e-05,1.5857538180480057e-05,1.6556470101146696e-05,0.26105840257931623,36936,6.552232321234053e-06,6.5744265330116955e-06,1.981802443514659e-06,63.61259246143557,94.81884221357181,87.44185792404784,10.186662340366695
