config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,norm_rms,n
equator_hex1deg_w0.5,equator,equator_hex1deg,0.5,0.0,6,6,1.0,8,70,data/equator_hex1deg_w0.5__cell_+0.00.nc,1.1945192426991039e-05,-1.3604596349611324e-06,0.9802562960913377,3.424400829407188e-05,4.3314129431653694e-05,0.27578050358462397,20736
equator_hex1deg_w0.75,equator,equator_hex1deg,0.75,0.0,6,6,1.0,8,70,data/equator_hex1deg_w0.75__cell_+0.00.nc,1.178679796736923e-05,-1.4132744806333522e-06,0.9761169276699075,3.2998513225075514e-05,4.1459176343726694e-05,0.28429889367912453,20736
equator_hex1deg_w1.0,equator,equator_hex1deg,1.0,0.0,6,6,1.0,8,70,data/equator_hex1deg_w1.0__cell_+0.00.nc,1.1851550648016907e-05,-1.3177523840370367e-06,0.9684607236700108,3.205252703560197e-05,3.969840638092854e-05,0.2985397079745371,20736
equator_hex1deg_w1.5,equator,equator_hex1deg,1.5,0.0,6,6,1.0,8,70,data/equator_hex1deg_w1.5__cell_+0.00.nc,1.227171974532172e-05,-4.476279517869475e-07,0.9455701382997633,2.985567478660373e-05,3.571409256940901e-05,0.34361001113137873,20736
equator_hex1deg_w2.0,equator,equator_hex1deg,2.0,0.0,6,6,1.0,8,70,data/equator_hex1deg_w2.0__cell_+0.00.nc,1.2975100592417913e-05,-2.3879204125461756e-08,0.9149820454416109,2.820553263002279e-05,3.203897132733115e-05,0.4049786886056913,20736
equator_hex2deg_w0.25,equator,equator_hex2deg,0.25,0.0,4,4,2.0,8,70,data/equator_hex2deg_w0.25__cell_+0.00.nc,1.7720168193732233e-05,-3.7326766210491996e-06,0.8728536234247636,2.86561859085528e-05,3.5236521928918304e-05,0.5028920910377777,20736
equator_hex2deg_w0.5,equator,equator_hex2deg,0.5,0.0,4,4,2.0,8,70,data/equator_hex2deg_w0.5__cell_+0.00.nc,1.3384368805464611e-05,-3.734944869293708e-06,0.9359066078013363,2.6387213926358676e-05,3.357275139390394e-05,0.3986676173313252,20736
equator_hex2deg_w0.75,equator,equator_hex2deg,0.75,0.0,4,4,2.0,8,70,data/equator_hex2deg_w0.75__cell_+0.00.nc,1.0705877040091173e-05,-3.3987021163089305e-06,0.9616737556227536,2.549388927975209e-05,3.1878864225895256e-05,0.3358299393676256,20736
equator_hex2deg_w1.0,equator,equator_hex2deg,1.0,0.0,4,4,2.0,8,70,data/equator_hex2deg_w1.0__cell_+0.00.nc,9.88916693712205e-06,-3.3377654467209113e-06,0.9657391721031134,2.41257707857218e-05,3.0187956359532492e-05,0.32758649904432285,20736
equator_hex2deg_w1.5,equator,equator_hex2deg,1.5,0.0,4,4,2.0,8,70,data/equator_hex2deg_w1.5__cell_+0.00.nc,9.792015243606003e-06,-2.7377924631689692e-06,0.9458457971217769,2.2351392475709508e-05,2.711959494467224e-05,0.361067901772983,20736
equator_hex2deg_w2.0,equator,equator_hex2deg,2.0,0.0,4,4,2.0,8,70,data/equator_hex2deg_w2.0__cell_+0.00.nc,1.0198877262280629e-05,-1.8524427525594847e-06,0.9177094708479901,1.99196810592533e-05,2.4442282256219466e-05,0.4172637053843641,20736
shift_w0.25,shift,shift,0.25,-1.5,2,8,1.0,8,70,data/shift_w0.25__cell_-1.50.nc,3.745743551128073e-05,9.30058956365874e-06,0.6856983012897571,4.01580999613552e-05,4.90336800168819e-05,0.7639123863104796,20736
shift_w0.25,shift,shift,0.25,-0.5,2,8,1.0,8,70,data/shift_w0.25__cell_-0.50.nc,2.7350115125497847e-05,-6.624684635523896e-06,0.9151888499847413,4.545794732901612e-05,6.079881049430641e-05,0.4498462207259645,20736
shift_w0.25,shift,shift,0.25,0.5,2,8,1.0,8,70,data/shift_w0.25__cell_+0.50.nc,2.6722381894961678e-05,-3.7858675729541662e-06,0.9169475527736827,5.348994935147075e-05,6.467544452009397e-05,0.41317662512020803,20736
shift_w0.25,shift,shift,0.25,1.5,2,8,1.0,8,70,data/shift_w0.25__cell_+1.50.nc,3.707074895545495e-05,-6.535437132190181e-08,0.8144180247745412,5.2410243639509095e-05,6.388085920527131e-05,0.5803107443551097,20736
shift_w0.5,shift,shift,0.5,-1.5,2,8,1.0,8,70,data/shift_w0.5__cell_-1.50.nc,2.6520766284386537e-05,7.62247700759106e-06,0.8406629485270806,3.7599713383718015e-05,4.6794846308455566e-05,0.5667454511885934,20736
shift_w0.5,shift,shift,0.5,-0.5,2,8,1.0,8,70,data/shift_w0.5__cell_-0.50.nc,2.4048798161026354e-05,-6.329479603893669e-06,0.9377136187153197,4.2769225891773674e-05,5.7924085457607506e-05,0.4151778654947738,20736
shift_w0.5,shift,shift,0.5,0.5,2,8,1.0,8,70,data/shift_w0.5__cell_+0.50.nc,2.3564242098012844e-05,-3.773345439383601e-06,0.9362261396976272,4.6628445294374516e-05,6.0164231632056616e-05,0.39166530443077047,20736
shift_w0.5,shift,shift,0.5,1.5,2,8,1.0,8,70,data/shift_w0.5__cell_+1.50.nc,3.105601181203136e-05,-1.2467137947022379e-06,0.846663189115157,4.4942489049034516e-05,5.7824475379875784e-05,0.5370738187940318,20736
shift_w0.75,shift,shift,0.75,-1.5,2,8,1.0,8,70,data/shift_w0.75__cell_-1.50.nc,2.0989155839897646e-05,5.645490019848079e-06,0.8890456890630104,3.585922948751541e-05,4.367687523237899e-05,0.4805553448644547,20736
shift_w0.75,shift,shift,0.75,-0.5,2,8,1.0,8,70,data/shift_w0.75__cell_-0.50.nc,2.2425176702215742e-05,-6.358296022393739e-06,0.9485756632240225,4.1333313769871934e-05,5.627433510671626e-05,0.3984974084489775,20736
shift_w0.75,shift,shift,0.75,0.5,2,8,1.0,8,70,data/shift_w0.75__cell_+0.50.nc,2.2543650785725044e-05,-1.6135728135228299e-06,0.9267711739497371,4.4211106811412824e-05,5.613355342799781e-05,0.40160740607026874,20736
shift_w0.75,shift,shift,0.75,1.5,2,8,1.0,8,70,data/shift_w0.75__cell_+1.50.nc,2.8942062389972872e-05,-9.7103902950839e-07,0.8379365041846237,4.2255769818145076e-05,5.286765773793858e-05,0.5474436286441273,20736
shift_w1.0,shift,shift,1.0,-1.5,2,8,1.0,8,70,data/shift_w1.0__cell_-1.50.nc,1.9247409506713587e-05,4.41391695568605e-06,0.8885214673963393,3.7003953375050805e-05,4.079736054802225e-05,0.47178075366070843,20736
shift_w1.0,shift,shift,1.0,-0.5,2,8,1.0,8,70,data/shift_w1.0__cell_-0.50.nc,2.326791017778281e-05,-6.445176451454001e-06,0.926455057120993,4.0819879745652144e-05,5.405901397463978e-05,0.43041684387174123,20736
