config,shape,diameter,depth,pair,js2d,js2d_null,js2d_null_p95,corr_obs,corr_true,cov_obs,cov_true,n_obs,n_true
symsq_d0.5_c+0.0,square,0.5,75m,Reynolds stress u'v',0.5948095764699606,0.7054967535721991,0.7987390492735695,0.2204517087228914,0.2466209174126805,0.010709996241912857,0.012190274374344763,864,31104
symsq_d0.5_c+0.0,square,0.5,75m,zonal heat flux u'T',0.5498607556401298,0.6432699173702243,0.7562867317795193,-0.030252480277637946,-0.07033481493320637,-0.0035803879276081457,-0.00854509415544838,864,31104
symsq_d0.5_c+0.0,square,0.5,75m,merid. heat flux v'T',0.5726238391757057,0.6834549283856812,0.791275423109994,-0.01887869864138492,-0.04057856228492295,-0.0024255370615627312,-0.0051330155015121,864,31104
symsq_d0.5_c+0.0,square,0.5,75m,vertical heat flux w'T',0.5627427160066806,0.6600482067813004,0.7770360801682729,-0.009133221491060408,-0.026731974684282758,-6.337525505115985e-07,-1.8372757919987672e-06,864,31104
symsq_d0.5_c+0.0,square,0.5,75m,T-S,0.5732273050099465,0.6522563824519533,0.773555173925945,0.5227096481968707,0.5532552234267607,0.02585348703019482,0.025057409614868884,864,31104
symsq_d0.5_c+0.0,square,0.5,depthavg,velocity U-V,0.5821901391161118,0.6445514694691603,0.7571086621446946,0.38757195313665915,0.4070680710039482,0.021386502690046043,0.022538677703914368,864,31104
symsq_d0.5_c+0.0,square,0.5,depthavg,Reynolds stress u'v',0.5739049091125705,0.6825462479618785,0.782947450720016,0.3896567560284754,0.4077426060810969,0.021452142169203967,0.022556828525932937,864,31104
symsq_d0.5_c+0.0,square,0.5,depthavg,zonal heat flux u'T',0.5597560289108726,0.6290343097663704,0.7322142530614543,0.403652034722791,0.4377539098301152,0.03356413555152347,0.03593895808630129,864,31104
symsq_d0.5_c+0.0,square,0.5,depthavg,merid. heat flux v'T',0.5625664626451948,0.6517683831779768,0.7686574633369541,-0.07474917307547152,-0.07606836385090673,-0.008112071366101608,-0.008258454873454616,864,31104
symsq_d0.5_c+0.0,square,0.5,depthavg,vertical heat flux w'T',0.5327950173542506,0.6338224950626724,0.7453524887818994,0.06539718882614444,0.05391748415081385,2.3050377900083967e-06,1.9287324761198847e-06,864,31104
