config,shape,diameter,depth,field,js,js_null,js_null_p95,wasserstein,w_null,w_null_p95,obs_mean,true_mean,obs_std,true_std,obs_skew,true_skew,n_obs,n_true
symhex_d1.0_c+0.0,hexagon,1.0,depthavg,S,0.10066449972069381,0.17145360687771502,0.2806458487891499,0.0037527853683812385,0.012959320858189988,0.03079708040115501,35.14208047674107,35.14484812877108,0.11044911320092521,0.10775055474354589,-0.012210762242188974,0.05203956995040746,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,depthavg,U,0.10421116258568514,0.16165152698154953,0.2642747624227748,0.013415493237376024,0.013129763824087433,0.026216320944506457,-0.01992089864424427,-0.006506297646702727,0.2058028690017015,0.20537411219810686,0.06361174784071463,0.1412562605753078,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,depthavg,V,0.0786158553357012,0.13614914458585578,0.24301255792507204,0.004772687361956138,0.008167195464604603,0.015144396568259628,-0.01992541223551953,-0.01926891939354471,0.26525204188354645,0.2684252002135939,-0.01159607852070004,0.004160923390111727,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,depthavg,W,0.09738338192050366,0.14729087040285732,0.23536379724719825,4.537923990872072e-06,7.976997878065284e-06,1.4397729667170807e-05,1.0060111410103924e-05,7.5140499725430955e-06,9.588689307374667e-05,9.347499906666145e-05,-0.8842644295521151,-1.0002518048415727,1296,96768
symhex_d1.0_c+0.0,hexagon,1.0,depthavg,sigma0,0.10014244920036204,0.16329258370480934,0.2666323210255582,0.01017607905876302,0.013412231113707991,0.029494215899020737,23.27412862979667,23.284258658543575,0.1339946666678959,0.12768141462084434,-0.17411297333401865,0.026625491402348715,1296,96768
symsq_d0.3_c+0.0,square,0.3,25m,T,0.07668691279407346,0.20223662821478197,0.2631240026359992,0.005488637307231724,0.0183377295104511,0.02961424286234707,25.691340935884337,25.689037151491558,0.405468447820326,0.4039919317143119,-0.9148226622172481,-0.9831979207954429,864,9504
symsq_d0.3_c+0.0,square,0.3,25m,S,0.09247993320171576,0.17492739259522364,0.23863158421457892,0.000983466634508492,0.005164998096205745,0.010483657395303637,35.12971177358856,35.129754066231186,0.12329662648337245,0.12342487260784017,-0.13550299279282993,-0.13626431858869154,864,9504
symsq_d0.3_c+0.0,square,0.3,25m,U,0.08722271950854403,0.2026295922790216,0.24041363890718795,0.0026524378608783514,0.005657533227425847,0.007471493775298096,-0.11260134662923894,-0.11174277344044235,0.2266060727007684,0.22638551542896124,0.05454744025177249,0.054744071675040085,864,9504
symsq_d0.3_c+0.0,square,0.3,25m,V,0.10870418438364399,0.19013247149146734,0.24494810005309264,0.0027424295764920067,0.0069591761669693265,0.010071291534412882,-0.01592294556964437,-0.015966500021335695,0.2931182513097392,0.2933486979751566,0.012274823655436497,0.01323074142496606,864,9504
symsq_d0.3_c+0.0,square,0.3,25m,W,0.11975609771146645,0.20722739047247635,0.24547266103765308,3.3776791594322314e-06,4.635311006466434e-06,6.372383336041296e-06,-2.215576022816674e-06,6.184558302596902e-07,6.690918646591e-05,6.669752328835231e-05,-0.7901310700841736,-0.6742863682599098,864,9504
symsq_d0.3_c+0.0,square,0.3,25m,sigma0,0.08690478322941377,0.2005961200455281,0.2558987445401347,0.0021779444343393976,0.007037127725195103,0.014457675971429858,23.22825032539441,23.22900070084446,0.15197709986329289,0.15139014696236222,-0.022550374766098127,0.03158441922530634,864,9504
symsq_d0.3_c+0.0,square,0.3,50m,T,0.09644432405017467,0.20793198280084815,0.25918042511347694,0.005843612635515482,0.015868858157749636,0.022506339933334382,25.58021656090769,25.579057581998683,0.4015403069675059,0.4006039782191579,-0.7735973603756033,-0.8080090555404408,864,9504
symsq_d0.3_c+0.0,square,0.3,50m,S,0.09736154301506282,0.18359177097481139,0.23853703724615757,0.0010724424257115605,0.004415091322378759,0.00875396810798131,35.14287261758065,35.14280370449779,0.10833996679051365,0.10843198908781605,0.09068755124983616,0.09430825754385641,864,9504
symsq_d0.3_c+0.0,square,0.3,50m,U,0.10030519312897201,0.20354527300405242,0.25398269034915477,0.0030717077766662937,0.007958956674678629,0.012602945401226123,-0.012158131037283311,-0.011634358853374075,0.20416199515785402,0.20222908827162395,0.17884778577581775,0.16368953310804396,864,9504
symsq_d0.3_c+0.0,square,0.3,50m,V,0.09823741996841397,0.19000134119475406,0.24986690157709446,0.0027429899208709137,0.006270206938565924,0.008675547278281553,-0.018295599026870574,-0.01845357185342491,0.2790783710699801,0.27971786135691185,0.006978151184726505,0.012217872024639117,864,9504
symsq_d0.3_c+0.0,square,0.3,50m,W,0.12778930131270475,0.19393670988715914,0.23259726640618117,5.124067262941797e-06,6.51982164925446e-06,1.0267990492189123e-05,-2.0884042652334913e-06,2.427714848133541e-06,0.0001066326391694346,0.0001071695910711071,-0.6454052275667095,-0.636789871964537,864,9504
symsq_d0.3_c+0.0,square,0.3,50m,sigma0,0.09759230361655365,0.19912921916427867,0.25121292025226855,0.001928511226343263,0.006927539755384357,0.01590750987483989,23.272622281922192,23.27293114324603,0.12623020911553806,0.1257016123996851,0.18931375795034008,0.24134254095090002,864,9504
symsq_d0.3_c+0.0,square,0.3,75m,T,0.10175994898727478,0.186205349919552,0.22766911685017707,0.008843619306219108,0.02641687422622869,0.04138426066247704,25.107979502262975,25.1013580600822,0.556066794200318,0.557259288405108,-0.38730784237145616,-0.3689848243001501,864,9504
symsq_d0.3_c+0.0,square,0.3,75m,S,0.1206881148854398,0.23875709605212525,0.2995873499436609,0.0017230105654416359,0.009226197293135945,0.019389679937651658,35.18738529931996,35.18707082809423,0.07908327438478628,0.07847804460243067,0.2877409998366581,0.31779848127197713,864,9504
symsq_d0.3_c+0.0,square,0.3,75m,U,0.1047514288553963,0.19212490176873023,0.24480061839106035,0.004739663899028057,0.009453127754559353,0.0182256359831179,0.26372898727700267,0.26543959129456235,0.22006242199939582,0.21776129579704004,0.3982674433972848,0.40202923544037683,864,9504
symsq_d0.3_c+0.0,square,0.3,75m,V,0.08488896204165686,0.19050603429913443,0.243670288058558,0.0024816973210707604,0.006469229697475184,0.010206544468864038,-0.026565472776169406,-0.02647752177604336,0.22639598646344267,0.22591580888121726,0.0024278661299393296,0.0038158848294600604,864,9504
symsq_d0.3_c+0.0,square,0.3,75m,W,0.11641089594160858,0.18889086581671505,0.24600630696050713,4.3384427764565906e-06,6.847713331832682e-06,8.928256731459837e-06,4.117993294693361e-06,5.353419234669537e-06,0.00012037253599729434,0.0001222572867149259,0.010784901367387594,-0.21196570567358317,864,9504
symsq_d0.3_c+0.0,square,0.3,75m,sigma0,0.08499563888693412,0.21026483043615343,0.24752879081808246,0.0035508888022687574,0.0065465248369336645,0.011613437963423054,23.450827581591984,23.45260749488149,0.1438264720418469,0.14371218799707752,0.28710623750470915,0.2867606747570336,864,9504
