config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n
equator_3cell_w0.5,equator,equator_3cell,0.5,-1.0,2,6,2.0,8,70,data/equator_3cell_w0.5__cell_-1.00.nc,3.0300599876672724e-05,-1.008611552225926e-06,0.7962725936436786,5.0046614464361325e-05,4.05770482641992e-05,2.6661730225410674e-06,3.674784574766994e-06,0.7467423376728637,20736
equator_3cell_w0.5,equator,equator_3cell,0.5,0.0,2,6,2.0,8,70,data/equator_3cell_w0.5__cell_+0.00.nc,2.6950517307378403e-05,5.988912302176467e-07,0.7945893404975143,4.43467341945939e-05,3.624551812803209e-05,4.506258573060005e-06,3.907367342842358e-06,0.7435544778855021,20736
equator_3cell_w0.5,equator,equator_3cell,0.5,1.0,2,6,2.0,8,70,data/equator_3cell_w0.5__cell_+1.00.nc,3.134639471414941e-05,-3.293643422328375e-06,0.8237137921594706,5.4166974533781455e-05,4.9952937753563236e-05,-7.981939539337036e-07,2.4954494683946718e-06,0.6275185429292076,20736
equator_3cell_w0.75,equator,equator_3cell,0.75,-1.0,2,6,2.0,8,70,data/equator_3cell_w0.75__cell_-1.00.nc,2.2926239549975583e-05,-7.584203621682345e-08,0.830757100845782,4.025375054210355e-05,3.829379095194286e-05,4.0862740737725165e-06,4.1621161099893415e-06,0.5986933907574488,20736
equator_3cell_w0.75,equator,equator_3cell,0.75,0.0,2,6,2.0,8,70,data/equator_3cell_w0.75__cell_+0.00.nc,2.3718177543641107e-05,1.1737825379867857e-07,0.8121808636762486,4.057113065027168e-05,3.4466433916078116e-05,4.6000331572333e-06,4.482654903434622e-06,0.6881529316723685,20736
equator_3cell_w0.75,equator,equator_3cell,0.75,1.0,2,6,2.0,8,70,data/equator_3cell_w0.75__cell_+1.00.nc,2.6433078916721752e-05,-3.107998776395031e-06,0.8252612134520804,4.233946099012885e-05,4.577160718117276e-05,-8.990660210237928e-07,2.208932755371239e-06,0.5774994706236681,20736
equator_3cell_w1.0,equator,equator_3cell,1.0,-1.0,2,6,2.0,8,70,data/equator_3cell_w1.0__cell_-1.00.nc,1.995087352087033e-05,-7.060933721587499e-07,0.8479146467000083,3.6184572454815875e-05,3.61188535651384e-05,3.913121773484422e-06,4.619215145643174e-06,0.5523672971759751,20736
equator_3cell_w1.0,equator,equator_3cell,1.0,0.0,2,6,2.0,8,70,data/equator_3cell_w1.0__cell_+0.00.nc,2.0555051366716455e-05,1.0930418245052607e-06,0.8371988174809748,3.734369081279753e-05,3.3315364900715515e-05,6.018444633554304e-06,4.925402809049044e-06,0.6169841281334726,20736
equator_3cell_w1.0,equator,equator_3cell,1.0,1.0,2,6,2.0,8,70,data/equator_3cell_w1.0__cell_+1.00.nc,2.7171430172918145e-05,-1.6326914159614675e-06,0.7685000805825926,3.473431891170571e-05,4.223944299517222e-05,3.9737665371104547e-07,2.030068069672513e-06,0.6432715075344084,20736
equator_3cell_w1.5,equator,equator_3cell,1.5,-1.0,2,6,2.0,8,70,data/equator_3cell_w1.5__cell_-1.00.nc,1.4824805886352228e-05,-4.2421790274636513e-07,0.8974659488617336,3.274005777863232e-05,3.270714000115033e-05,4.869840086718397e-06,5.294057989464763e-06,0.4532590096789517,20736
equator_3cell_w1.5,equator,equator_3cell,1.5,0.0,2,6,2.0,8,70,data/equator_3cell_w1.5__cell_+0.00.nc,1.913990768316702e-05,1.989696992159182e-06,0.8231136406765948,3.2851399954060174e-05,3.0828289774057414e-05,8.059208423749842e-06,6.0695114315906595e-06,0.6208553190412013,20736
equator_3cell_w1.5,equator,equator_3cell,1.5,1.0,2,6,2.0,8,70,data/equator_3cell_w1.5__cell_+1.00.nc,3.0114400689794888e-05,-9.97959633110736e-07,0.61404695439101,3.1766157140318885e-05,3.615743061538049e-05,1.9398642777621494e-06,2.9378239108728854e-06,0.8328689339165863,20736
equator_3cell_w2.0,equator,equator_3cell,2.0,-1.0,2,6,2.0,8,70,data/equator_3cell_w2.0__cell_-1.00.nc,1.5197746459575006e-05,-1.0736384114103842e-06,0.8807190531760919,3.17304839391685e-05,2.993412889281483e-05,4.66230356626322e-06,5.7359419776736035e-06,0.507706321235991,20736
